Southern Hemisphere Land Temperature Anomalies
Units: Degrees Celsius
Base Period: 1901-2000
Missing: -999
Year,Value
196602,-0.16
196603,0.12
196604,0.14
196605,0.01
196606,0.46
196607,0.17
196608,-0.31
196609,-0.22
196610,-0.23
196611,0.11
196612,-0.14
196701,0.05
196702,-0.15
196703,-0.37
196704,0.25
196705,0.60
196706,-0.26
196707,-0.21
196708,-0.09
196709,0.07
196710,0.50
196711,0.04
196712,-0.03
196801,0.06
196802,-0.06
196803,-0.10
196804,-0.29
196805,-0.58
196806,-0.17
196807,0.07
196808,-0.02
196809,-0.25
196810,0.12
196811,0.16
196812,-0.09
196901,0.47
196902,0.38
196903,0.32
196904,0.39
196905,0.47
196906,0.28
196907,0.48
196908,0.20
196909,0.03
196910,0.26
196911,0.29
196912,0.11
197001,0.26
197002,0.47
197003,0.29
197004,0.50
197005,0.19
197006,0.42
197007,0.12
197008,-0.05
197009,0.24
197010,0.27
197011,-0.07
197012,0.08
197101,-0.01
197102,-0.16
197103,0.21
197104,-0.16
197105,-0.28
197106,-0.47
197107,0.16
197108,0.08
197109,0.28
197110,-0.11
197111,-0.34
197112,-0.09
197201,-0.15
197202,-0.12
197203,-0.17
197204,-0.06
197205,0.36
197206,0.49
197207,0.18
197208,0.28
197209,0.44
197210,0.25
197211,0.27
197212,0.82
197301,0.82
197302,0.55
197303,0.74
197304,0.68
197305,0.50
197306,0.69
197307,0.44
197308,0.09
197309,0.11
197310,0.26
197311,-0.10
197312,-0.25
197401,-0.26
197402,-0.46
197403,-0.12
197404,-0.17
197405,0.04
197406,-0.09
197407,0.20
197408,0.10
197409,-0.32
197410,-0.14
197411,-0.26
197412,-0.26
197501,-0.14
197502,-0.02
197503,-0.09
197504,0.04
197505,0.27
197506,0.34
197507,0.21
197508,-0.13
197509,0.29
197510,-0.35
197511,-0.09
197512,-0.13
197601,-0.46
197602,-0.35
197603,-0.40
197604,-0.29
197605,-0.23
197606,-0.15
197607,0.07
197608,-0.16
197609,-0.21
197610,-0.32
197611,-0.13
197612,0.39
197701,0.32
197702,0.30
197703,0.17
197704,0.23
197705,0.10
197706,0.32
197707,0.50
197708,0.50
197709,0.20
197710,0.53
197711,0.34
197712,0.31
197801,0.05
197802,0.34
197803,0.44
197804,0.05
197805,0.29
197806,0.03
197807,0.60
197808,-0.02
197809,-0.02
197810,0.09
197811,0.11
197812,0.00
197901,0.39
197902,0.23
197903,0.19
197904,0.30
197905,0.03
197906,0.18
197907,0.21
197908,0.72
197909,0.09
197910,0.41
197911,0.33
197912,0.46
198001,0.34
198002,0.33
198003,0.78
198004,0.65
198005,0.75
198006,0.25
198007,0.31
198008,0.57
198009,0.38
198010,0.33
198011,0.31
198012,0.40
198101,0.27
198102,0.23
198103,0.05
198104,0.52
198105,0.53
198106,-0.05
198107,0.26
198108,0.51
198109,0.18
198110,-0.11
198111,0.19
198112,0.32
198201,0.31
198202,0.24
198203,0.10
198204,0.14
198205,0.29
198206,0.03
198207,0.30
198208,0.59
198209,0.29
198210,-0.01
198211,0.43
198212,0.58
198301,0.74
198302,1.07
198303,0.75
198304,0.65
198305,0.89
198306,0.34
198307,0.24
198308,0.34
198309,0.65
198310,0.39
198311,0.30
198312,0.39
198401,0.04
198402,0.31
198403,0.26
198404,0.11
198405,0.63
198406,-0.02
198407,0.20
198408,0.07
198409,0.05
198410,0.42
198411,0.11
198412,0.05
198501,0.38
198502,0.33
198503,0.59
198504,0.18
198505,0.38
198506,0.11
198507,0.13
198508,0.46
198509,0.13
198510,0.29
198511,0.36
198512,0.15
198601,0.29
198602,0.41
198603,0.51
198604,0.62
198605,0.81
198606,0.44
198607,0.28
198608,0.40
198609,0.21
198610,0.02
198611,0.17
198612,0.35
198701,0.52
198702,0.51
198703,0.49
198704,0.93
198705,0.44
198706,0.68
198707,0.93
198708,0.28
198709,0.39
198710,0.67
198711,0.81
198712,0.50
198801,0.79
198802,0.44
198803,0.83
198804,0.52
198805,0.48
198806,0.38
198807,0.22
198808,0.67
198809,0.57
198810,0.71
198811,0.19
198812,0.08
198901,0.04
198902,0.27
198903,0.10
198904,0.28
198905,0.27
198906,0.18
198907,0.07
198908,0.29
198909,0.25
198910,0.30
198911,0.23
198912,0.49
199001,0.48
199002,0.16
199003,0.65
199004,0.60
199005,0.58
199006,0.21
199007,0.44
199008,0.42
199009,-0.05
199010,0.65
199011,0.93
199012,0.61
199101,0.38
199102,0.55
199103,0.48
199104,0.59
199105,0.73
199106,0.92
199107,0.45
199108,0.39
199109,0.53
199110,0.45
199111,0.26
199112,0.35
199201,0.37
199202,0.59
199203,0.83
199204,0.70
199205,0.64
199206,0.75
199207,0.08
199208,0.14
199209,0.14
199210,0.12
199211,-0.20
199212,0.18
199301,0.41
199302,0.02
199303,0.52
199304,0.64
199305,0.51
199306,0.40
199307,0.62
199308,0.40
199309,0.37
199310,0.40
199311,0.43
199312,0.22
199401,0.34
199402,0.09
199403,0.09
199404,0.37
199405,0.66
199406,0.51
199407,0.29
199408,0.18
199409,0.67
199410,0.46
199411,0.52
199412,0.82
199501,0.53
199502,0.39
199503,0.37
199504,0.20
199505,0.36
199506,0.57
199507,0.79
199508,0.84
199509,0.82
199510,0.48
199511,0.59
199512,0.27
199601,0.32
199602,0.35
199603,0.43
199604,0.36
199605,0.53
199606,0.48
199607,0.29
199608,0.82
199609,0.45
199610,0.59
199611,0.31
199612,0.42
199701,0.20
199702,0.26
199703,0.10
199704,0.18
199705,0.29
199706,0.67
199707,0.58
199708,0.61
199709,1.11
199710,0.75
199711,0.82
199712,0.89
199801,0.83
199802,1.11
199803,1.09
199804,1.01
199805,1.04
199806,1.02
199807,1.17
199808,1.04
199809,0.65
199810,0.75
199811,0.44
199812,0.43
199901,0.57
199902,0.57
199903,0.66
199904,0.06
199905,0.44
199906,0.65
199907,0.62
199908,0.57
199909,0.80
199910,0.43
199911,0.03
199912,0.11
200001,0.00
200002,0.15
200003,0.23
200004,0.45
200005,0.04
200006,0.51
200007,0.23
200008,0.57
200009,0.61
200010,0.49
200011,0.31
200012,0.30
200101,0.56
200102,0.58
200103,0.41
200104,0.59
200105,0.38
200106,0.63
200107,0.68
200108,0.68
200109,0.55
200110,0.36
200111,0.35
200112,0.39
200201,0.46
200202,0.26
200203,0.92
200204,1.10
200205,1.24
200206,0.41
200207,0.70
200208,0.89
200209,0.80
200210,1.10
200211,0.76
200212,0.78
200301,0.86
200302,1.00
200303,0.71
200304,0.80
200305,0.86
200306,0.97
200307,0.71
200308,0.37
200309,0.81
200310,0.73
200311,0.83
200312,0.79
200401,0.79
200402,0.56
200403,0.70
200404,0.88
200405,0.14
200406,0.67
200407,0.26
200408,0.62
200409,0.59
200410,0.97
200411,0.83
200412,0.81
200501,0.89
200502,0.97
200503,0.95
200504,0.98
200505,0.98
200506,1.13
200507,0.87
200508,0.89
200509,0.69
200510,0.99
200511,0.92
200512,0.76
200601,0.83
200602,0.80
200603,0.67
200604,0.42
200605,-0.21
200606,0.54
200607,0.87
200608,0.95
200609,0.70
200610,1.03
200611,0.81
200612,0.70
200701,0.76
200702,1.02
200703,0.87
200704,0.99
200705,0.79
200706,0.32
200707,0.49
200708,0.41
200709,1.17
200710,0.85
200711,0.61
200712,0.43
200801,0.51
200802,0.30
200803,0.52
200804,0.35
200805,0.52
200806,0.45
200807,0.99
200808,0.57
200809,0.80
200810,1.11
200811,0.79
200812,0.69
200901,0.62
200902,0.59
200903,0.82
200904,0.85
200905,0.80
200906,0.72
200907,0.87
200908,1.28
200909,0.92
200910,0.83
200911,1.24
200912,0.83
201001,0.91
201002,1.18
201003,1.20
201004,1.04
201005,0.92
201006,0.80
201007,0.74
201008,0.47
201009,0.91
201010,0.67
201011,0.39
201012,0.49
201101,0.67
201102,0.37
201103,0.41
201104,0.62
201105,0.36
201106,0.61
201107,0.81
201108,0.92
201109,0.82
201110,0.57
201111,0.67
201112,0.37
201201,0.53
201202,0.44
201203,0.50
201204,0.54
201205,0.78
201206,0.50
201207,0.24
201208,0.77
201209,0.98
201210,1.13
201211,1.13
201212,1.00
201301,1.11
201302,0.90
201303,0.75
201304,0.73
201305,0.89
201306,1.10
201307,0.92
201308,0.73
201309,1.22
201310,0.94
201311,0.80
201312,0.92
201401,0.91
201402,0.53
201403,0.56
201404,0.72
201405,1.26
201406,0.89
201407,0.65
201408,1.06
201409,1.40
201410,1.40
201411,0.91
201412,0.75
201501,0.76
201502,1.14
201503,1.07
201504,0.84
201505,1.05
201506,1.27
201507,1.17
201508,1.35
201509,1.05
201510,1.68
201511,1.24
201512,1.40
201601,1.26
201602,1.47
201603,1.38
201604,1.44
201605,1.12
201606,0.69
201607,1.04
201608,1.37
201609,0.80
201610,0.94
201611,1.06
201612,1.16
201701,0.98
201702,0.93
201703,1.20
201704,0.81
201705,1.28
201706,0.97
201707,1.34
201708,1.29
201709,1.33
201710,1.23
201711,0.84
201712,0.94
201801,0.92
201802,0.85
201803,0.93
201804,1.56
201805,0.97
201806,0.73
201807,1.01
201808,0.74
201809,1.17
201810,1.25
201811,1.00
201812,1.25
201901,1.41
201902,1.22
201903,1.35
201904,1.33
201905,1.30
201906,1.16
201907,1.25
201908,1.00
201909,1.17
201910,1.46
201911,1.47
201912,1.48
202001,1.24
202002,1.10
202003,1.20
202004,1.32
202005,0.85
202006,1.24
202007,1.04
202008,1.18
202009,1.58
202010,1.34
202011,1.45
202012,0.77
202101,0.63
202102,0.49
202103,0.76
